ds,yhat,yhat_lower,yhat_upper
2015-01-03,1498.4995143556582,-1295.9160497400362,4398.634351596772
2015-01-04,1164.1550016221356,-1768.856580611925,3906.180618047164
2015-01-05,964.0087007969028,-1805.9806489201023,3656.8258802984355
2015-01-06,1232.369985293445,-1377.8515970484402,3788.5962765945465
2015-01-07,688.5921034614688,-2064.6573033467325,3446.4022779436164
2015-01-09,612.0759999173387,-1977.3671201258717,3391.889939737536
2015-01-10,1001.409134135758,-1760.611788481288,3737.8533936188564
2015-01-11,729.6198485124688,-2000.7910331174685,3671.4097561980775
2015-01-13,935.3520394930493,-1748.4657381483316,3792.2646805929567
2015-01-14,463.66924990307893,-2287.030076925705,3204.482466041855
2015-01-15,-107.38774429256841,-2547.6229800839774,2770.241295525559
2015-01-16,530.4304954755941,-2209.7384455429715,3261.09060813474
2015-01-18,779.933498798707,-1629.1684105994707,3773.162731348409
2015-01-19,705.1099296141476,-2092.8732941910607,3529.6627566885354
2015-01-20,1095.1060724182405,-1637.2717127733385,3670.716758578497
2015-01-23,792.8112854360311,-2157.465112202126,3466.9211193927563
2015-01-26,981.4716109120108,-1499.5462945793302,3873.13261678929
2015-01-27,1355.9748287862735,-1345.083825017074,4153.151873520636
2015-01-28,902.6686609091151,-1692.9391022304083,3715.338881515105
2015-01-30,953.7792732298886,-1703.3669335827144,3626.7317288951613
2015-01-31,1378.1644514750592,-1477.8448128632392,4068.504454442132
2015-02-01,1121.6059978581359,-1519.5412088488345,4073.217744696304
2015-02-02,984.1277052246344,-1808.7927516616908,3817.4638052524333
2015-02-03,1299.2245574565131,-1398.9900883526354,4012.518351184556
2015-02-04,785.8148200338936,-1828.1652447300864,3599.0322438822977
2015-02-06,721.1532601137078,-2067.468141518145,3262.717749336953
2015-02-07,1093.0630815524205,-1689.4176399040357,3706.9829578934714
2015-02-08,789.6420800403349,-1900.0599564041358,3602.8036030766066
2015-02-11,359.6970591242416,-2523.6815377178614,3230.1002127721117
2015-02-12,-282.2598350044825,-2985.103307091286,2351.350328218042
2015-02-14,661.2788949388944,-2117.406846824183,3375.6257845912733
2015-02-15,377.6967003099901,-2520.234850646422,3066.064319635595
2015-02-16,230.93492072165145,-2486.0742403313916,3162.9345254643777
2015-02-17,555.2520197632326,-2223.798875097206,3274.406439589097
2015-02-18,69.90046581557772,-2668.340940207728,3035.2123541698693
2015-02-20,117.01408865257508,-2629.6784073475787,2956.695113858279
2015-02-21,571.1310278840108,-2104.258965802911,3338.1786511785867
2015-02-22,365.76814384546174,-2428.881273006688,3129.4395742096017
2015-02-23,300.5601435309934,-2331.678553207153,3014.2238841092035
2015-02-24,708.1214293779594,-2144.171572513974,3348.3221377340165
2015-02-27,512.8920491456834,-2279.0258546571204,3207.33611814284
2015-03-01,901.759184965024,-1809.7531875298064,3526.5181602766693
2015-03-02,895.6345417722813,-1841.2279785849985,3467.382279089281
2015-03-03,1353.343528012052,-1457.2734906042233,4048.7551776853516
2015-03-04,991.4723717198339,-1681.5145193185385,3674.022398348027
2015-03-05,519.9734578675022,-2154.344014798477,3128.724926170302
2015-03-07,1780.4772711152118,-973.2311944797458,4387.3759566911585
2015-03-10,2045.7700015806076,-558.9203724444501,4580.57686226403
2015-03-11,1646.6210970076083,-1023.9416232373507,4290.890865866609
2015-03-14,2271.5452048941224,-300.20550087273966,5009.831238360113
2015-03-15,2060.1544487510705,-880.3173709882973,4683.049486486191
2015-03-16,1965.3314650917973,-703.1404997281606,4796.110089393702
2015-03-17,2320.418608399637,-421.01570733236827,5219.382975733187
2015-03-18,1844.1507297285239,-811.4744373344543,4647.387622357551
2015-03-19,1248.8243360080291,-1336.3878685035365,3899.962302023543
2015-03-21,2243.396730631634,-657.7838268863669,5071.857821182741
2015-03-22,1963.2190211711954,-614.3301236033443,4775.50325690396
2015-03-23,1804.8307240128163,-858.2587264390917,4360.926690816738
2015-03-24,2102.560344415964,-666.2669946673801,5139.619180254908
2015-03-25,1575.9577723256393,-1209.9129224746032,4352.288475199113
2015-03-26,937.9496093907476,-1965.917277237316,3866.4491437440965
2015-03-28,1871.663837808984,-725.8238420434194,4463.834822610365
2015-03-29,1573.5889480083183,-1051.639450402603,4299.857503901453
2015-03-30,1405.5214523471398,-1145.006073091841,4119.237242107463
2015-03-31,1701.4584699119466,-1074.7799898053777,4427.57074580164
2015-04-01,1180.4519227042097,-1730.9337345812546,3830.570711522876
2015-04-02,554.7821013916066,-2229.428541218445,3328.007493433875
2015-04-04,1530.2041474410316,-1329.82099238381,4117.769792925041
2015-04-05,1259.6694227426572,-1489.7861944882034,3826.970894563969
2015-04-06,1122.2787442720448,-1710.9182457258912,3789.607364640672
2015-04-07,1451.0036635301713,-1084.0649318406754,4128.584032076879
2015-04-08,963.8753454597719,-1704.6989620279073,3682.1966213414844
2015-04-11,1412.2085594232772,-1529.6275273770525,4200.433315563404
2015-04-12,1170.6831958022342,-1610.9678826223876,3867.913213223137
2015-04-13,1059.2108745784321,-1622.6779977167746,3814.2940965513894
2015-04-15,941.4399351533796,-1817.8286469398108,3636.5701967985856
2015-04-16,363.8427250554464,-2426.0526582721322,3062.6907832702677
2015-04-18,1419.1195463897611,-1490.660871667406,4127.2089002904395
2015-04-19,1178.9699825730786,-1608.2090571443864,3877.7940675794653
2015-04-20,1065.0623634279111,-1811.026471183423,3767.227511091144
2015-04-21,1410.2587364418043,-1371.5666861546313,4207.589582809239
2015-04-22,932.7107112773951,-1728.4051140936542,3550.2149950503026
